position x1,position y1,velocity x1,velocity y1,position x2,position y2,velocity x2,velocity y2
107.0,50.42653226164113,30.000000000000007,26.294857560399528,88.01975947978457,267.186889050366,-24.148145657226706,-19.196190539103647
108.0,49.56670367629448,30.000000000000007,25.961524227066196,87.21482129121034,267.8434287350028,-24.148145657226706,-19.52952387243698
109.0,48.71798620205894,30.000000000000007,25.628190893732864,86.40988310263612,268.5110795307507,-24.148145657226706,-19.86285720577031
110.0,47.880379838934516,30.000000000000007,25.29485756039953,85.60494491406189,269.1898414376097,-24.148145657226706,-20.196190539103643
111.0,47.0538845869212,30.000000000000007,24.9615242270662,84.80000672548766,269.8797144555798,-24.148145657226706,-20.529523872436975
112.0,46.23850044601899,30.000000000000007,24.628190893732867,83.99506853691344,270.58069858466104,-24.148145657226706,-20.862857205770307
113.0,45.4342274162279,30.000000000000007,24.294857560399535,83.19013034833921,271.2927938248534,-24.148145657226706,-21.19619053910364
114.0,44.64106549754791,30.000000000000007,23.961524227066203,82.38519215976498,272.01600017615687,-24.148145657226706,-21.52952387243697
115.0,43.859014689979034,30.000000000000007,23.62819089373287,81.58025397119076,272.7503176385714,-24.148145657226706,-21.862857205770304
116.0,43.088074993521275,30.000000000000007,23.29485756039954,80.77531578261653,273.49574621209706,-24.148145657226706,-22.196190539103636
117.0,42.32824640817462,30.000000000000007,22.961524227066207,79.9703775940423,274.25228589673384,-24.148145657226706,-22.529523872436968
118.0,41.57952893393909,30.000000000000007,22.628190893732874,79.16543940546808,275.01993669248174,-24.148145657226706,-22.8628572057703
119.0,40.84192257081466,30.000000000000007,22.294857560399542,78.36050121689385,275.79869859934075,-24.148145657226706,-23.196190539103632
120.0,40.11542731880134,30.000000000000007,21.96152422706621,77.55556302831963,276.5885716173109,-24.148145657226706,-23.529523872436965
121.0,39.400043177899136,30.000000000000007,21.628190893732878,76.7506248397454,277.38955574639215,-24.148145657226706,-23.862857205770297
122.0,38.69577014810804,30.000000000000007,21.294857560399546,75.94568665117117,278.20165098658447,-24.148145657226706,-24.19619053910363
123.0,38.00260822942805,30.000000000000007,20.961524227066214,75.14074846259695,279.0248573378879,-24.148145657226706,-24.52952387243696
124.0,37.32055742185918,30.000000000000007,20.62819089373288,74.33581027402272,279.85917480030247,-24.148145657226706,-24.862857205770293
125.0,36.64961772540141,30.000000000000007,20.29485756039955,73.5308720854485,280.70460337382815,-24.148145657226706,-25.196190539103625
126.0,35.98978914005477,30.000000000000007,19.961524227066217,72.72593389687427,281.56114305846495,-24.148145657226706,-25.529523872436958
127.0,35.34107166581923,30.000000000000007,19.628190893732885,71.92099570830004,282.42879385421287,-24.148145657226706,-25.86285720577029
128.0,34.703465302694795,30.000000000000007,19.294857560399553,71.11605751972581,283.30755576107185,-24.148145657226706,-26.196190539103622
