# time, x_measured, y_measured, x_predicted, y_predicted, x_kalman, y_kalman
2.902969283276450430e+00,4.162063077082366931e+02,1.106774117751773247e+03,5.623470605170149383e+02,1.258450192950230758e+03,5.402353216325551557e+02,1.235500935434112989e+03
2.936336746302616429e+00,4.492961742483167882e+02,9.736200265711734119e+02,5.413360315162179859e+02,1.223717556997198926e+03,5.274090554669456878e+02,1.185874144158268564e+03
2.969704209328782429e+00,6.965932617184728315e+02,8.184135131847823459e+02,5.273938724955786483e+02,1.170431986094069316e+03,5.529982751323613002e+02,1.117162155999817514e+03
3.003071672354948873e+00,4.509802324341886788e+02,9.208736203408209349e+02,5.551299346623652582e+02,1.096641383656453627e+03,5.393678327991683545e+02,1.070040545340299786e+03
3.036439135381114873e+00,3.989824058823717792e+02,9.116310453767067656e+02,5.402689217266556625e+02,1.046493987244257141e+03,5.188842888938154374e+02,1.026081604099550077e+03
3.069806598407280873e+00,5.586573961364022125e+02,1.532901748160859370e+03,5.180304339575665153e+02,9.999374181722803314e+02,5.241802836565624375e+02,1.080614149795184858e+03
3.103174061433446873e+00,5.612656249999993179e+02,1.532727905273434544e+03,5.238056470629525165e+02,1.060271767949559035e+03,5.294767832133229604e+02,1.131797786580553066e+03
3.136541524459613317e+00,5.611667480468752274e+02,1.532762207031254775e+03,5.295621110760152987e+02,1.116764092888328605e+03,5.343474015140676556e+02,1.179750793216238435e+03
3.169908987485779317e+00,4.500807396706289296e+02,8.079361180080425129e+02,5.348376920272180541e+02,1.169552761564097182e+03,5.220028808445679260e+02,1.114792872121412984e+03
3.203276450511945317e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.214375047748279712e+02,1.099774999857664625e+03,4.424653511661425114e+02,9.332131407116551145e+02
3.236643913538111317e+00,-9.147796832583380819e+02,2.892523907948858323e+03,4.352565199905585587e+02,9.038174073697116455e+02,2.307652221080357435e+02,1.205048716894723384e+03
3.270011376564277317e+00,1.028328704833464968e+02,1.576176147460979564e+03,2.061214463945161413e+02,1.199930655256440332e+03,1.904741676512386164e+02,1.256928421374246227e+03
3.303378839590443761e+00,1.034744949340820028e+02,1.575139526367190001e+03,1.635370485072822646e+02,1.256629915074042856e+03,1.544369478947354537e+02,1.304887428889174771e+03
3.336746302616609761e+00,1.034313888549805682e+02,1.575468383789058180e+03,1.257024992033640984e+02,1.308868725816682172e+03,1.223277746985643688e+02,1.349266370328191897e+03
3.370113765642775761e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.224534344039264511e+01,1.357031816057519109e+03,7.826581090001970153e+01,1.151377311197270956e+03
3.403481228668941760e+00,6.658256225585956827e+02,1.134327392579168645e+03,4.593445312311627049e+01,1.142425453399563821e+03,1.398878898465733869e+02,1.141198075623615523e+03
3.436848691695108204e+00,4.570927009968046377e+02,6.552008413764874604e+02,1.143141420216661288e+02,1.131980493230902084e+03,1.662726721428412588e+02,1.059710016407298554e+03
3.470216154721274204e+00,4.564207465833653714e+02,6.376661112130348101e+02,1.442517778195787628e+02,1.044262752426381439e+03,1.915751466985236675e+02,9.826245860407950659e+02
3.503583617747440204e+00,4.563958029879933065e+02,6.212408665441992071e+02,1.728941652544859551e+02,9.615949357030197007e+02,2.158755881941838481e+02,9.099941678460322692e+02
3.536951080773606204e+00,4.539478296950225058e+02,6.065955307832931567e+02,2.003304284562620126e+02,8.840156048571798237e+02,2.387842987984183765e+02,8.419527357218490806e+02
3.570318543799772204e+00,4.548916209059678977e+02,5.904018148345492136e+02,2.261405522641388188e+02,8.116508726854307270e+02,2.608267283332479565e+02,7.781022478798507791e+02
3.603686006825938648e+00,4.525575052922506529e+02,5.747795391427978302e+02,2.508983798898613600e+02,7.440491405822026536e+02,2.814785570829251355e+02,7.183806051510014186e+02
